course,branch,category,cutoff_rank
ENGG,ME Mechanical,1G,6929
ENGG,"AD ArtificialIntel, Data Sc",1G,51436
ENGG,"CA CS (AI, MachineLearning)",1G,53181
ENGG,CS Computers,1G,39933
ENGG,EC Electronics,1G,61256
ENGG,IE Info.Science,1G,50620
ENGG,"AD ArtificialIntel, Data Sc",1G,31389
ENGG,AE Aeronaut.Engg,1G,72796
ENGG,Intelligence,1G,30792
ENGG,"CA CS (AI, MachineLearning)",1G,30003
ENGG,CE Civil,1G,2562
ENGG,CS Computers,1G,30605
ENGG,EC Electronics,1G,42923
ENGG,EE Electrical,1G,62947
ENGG,IE Info.Science,1G,32106
ENGG,ME Mechanical,1G,4950
ENGG,"CA CS (AI, MachineLearning)",1G,70606
ENGG,CE Civil,1G,7859
ENGG,CS Computers,1G,63785
ENGG,Data Sc.,1G,79106
ENGG,EC Electronics,1G,86847
ENGG,IE Info.Science,1G,71415
ENGG,"AD ArtificialIntel, Data Sc",1G,17061
ENGG,AE Aeronaut.Engg,1G,28779
ENGG,Intelligence,1G,14011
ENGG,Bus Sys.,1G,22425
ENGG,CS Computers,1G,13997
ENGG,EC Electronics,1G,21663
ENGG,Design),1G,40068
ENGG,IE Info.Science,1G,16911
ENGG,ME Mechanical,1G,72917
ENGG,"AD ArtificialIntel, Data Sc",1G,67362
ENGG,Intelligence,1G,69348
ENGG,"CA CS (AI, MachineLearning)",1G,67952
ENGG,CE Civil,1G,6968
ENGG,CS Computers,1G,57006
ENGG,EC Electronics,1G,89083
ENGG,EE Electrical,1G,99351
ENGG,Computer,1G,0329
ENGG,"IC CS-IoT, CyberSecurity",1G,70539
ENGG,IE Info.Science,1G,60411
ENGG,ME Mechanical,1G,6971
ENGG,Intelligence,1G,23417
ENGG,CS Computers,1G,18765
ENGG,EC Electronics,1G,19624
ENGG,EE Electrical,1G,36184
ENGG,IE Info.Science,1G,18802
ENGG,ME Mechanical,1G,63491
ENGG,"CA CS (AI, MachineLearning)",1G,56327
ENGG,CS Computers,1G,91593
ENGG,Data Sc.,1G,63839
ENGG,EC Electronics,1G,52943
ENGG,ENG(ART.INT),1G,64312
ENGG,Intelligence,1G,87506
ENGG,CE Civil,1G,7744
