course,branch,category,cutoff_rank
ENGG,IE Info.Science,2AH,60545
ENGG,CE Civil,2AH,164048
ENGG,CS Computers,2AH,34917
ENGG,ME Mechanical,2AH,211358
ENGG,Intelligence,2AH,31066
ENGG,CS Computers,2AH,24947
ENGG,Data Sc.,2AH,28999
ENGG,EC Electronics,2AH,33317
ENGG,IE Info.Science,2AH,29570
ENGG,EC Electronics,2AH,125653
ENGG,ZC CSC,2AH,130280
ENGG,CS Computers,2AH,24625
ENGG,EC Electronics,2AH,32763
ENGG,IE Info.Science,2AH,25727
ENGG,CS Computers,2AH,72102
ENGG,EC Electronics,2AH,92224
ENGG,IE Info.Science,2AH,73780
ENGG,CS Computers,2AH,60447
ENGG,CS Computers,2AH,75800
ENGG,EC Electronics,2AH,99983
ENGG,CS Computers,2AH,64598
ENGG,IE Info.Science,2AH,79728
ENGG,EC Electronics,2AH,90152
ENGG,CS Computers,2AH,81158
ENGG,CS Computers,2AH,38800
ENGG,EC Electronics,2AH,64250
ENGG,CS Computers,2AH,65483
ENGG,EC Electronics,2AH,10829
ENGG,IE Info.Science,2AH,80233
ENGG,"AD ArtificialIntel, Data Sc",2AH,12787
ENGG,CE Civil,2AH,26799
ENGG,CS Computers,2AH,11977
ENGG,EC Electronics,2AH,15970
ENGG,Computer,2AH,22471
ENGG,ZC CSC,2AH,15949
ENGG,CS Computers,2AH,11671
ENGG,EC Electronics,2AH,15014
ENGG,Intelligence,2AH,58007
ENGG,"CA CS (AI, MachineLearning)",2AH,62663
ENGG,CS Computers,2AH,41838
ENGG,EC Electronics,2AH,64131
ENGG,IE Info.Science,2AH,61433
ENGG,CS Computers,2AH,49942
ENGG,EC Electronics,2AH,74433
ENGG,IE Info.Science,2AH,68765
ENGG,"AD ArtificialIntel, Data Sc",2AH,24977
ENGG,CS Computers,2AH,19224
ENGG,EC Electronics,2AH,29514
ENGG,IE Info.Science,2AH,25121
ENGG,Intelligence,2AH,42794
ENGG,and Design,2AH,73583
ENGG,CS Computers,2AH,37199
