Unnamed: 0,1H,1KH,1RH,2AH,2AKH,2ARH,2BH,2BKH,2BRH,3AH,3AKH,3ARH,3BH,3BKH,3BRH,GMH,GMKH,GMRH,SCH,SCKH,SCRH,STH,STKH,STRH
AI ArtificialIntelligence,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,85668,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17350,--,--,--,--,--,--,--,--
CS Computers,--,--,--,105298,--,--,--,--,--,--,--,03070,--,--,--,93066,--,--,12961,--,--,--,--,--
EC Electronics,7506,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12947,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24647,--,--,--,--,--,--,--,--
TX Textiles,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18789,--,--,25926,--,--,--,--,--
CS Computers,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,80873,--,12318,--,--,--,--,--,--
EC Electronics,4790,--,--,--,--,--,--,--,--,--,--,17347,--,--,--,--,--,--,--,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,21321,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
IE Info.Science,--,--,--,133832,--,--,--,--,--,--,--,--,--,--,--,11148,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
AI ArtificialIntelligence,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19336,--,--,--,--,--,62751,--,--
CE Civil,--,--,--,--,--,--,--,--,--,173979,--,--,--,--,--,10840,--,--,--,--,--,--,--,--
CH Chemical,9723,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,--,--,--,--,28339,--,--,--,--,--,--,--,--,--,--,12570,--,--,48880,--,--,--,--,--
EC Electronics,--,--,--,25820,--,--,--,--,--,--,--,--,--,--,--,20540,--,29059,85879,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,40476,--,--,33389,--,--,--,--,--,--,--,--
IE Info.Science,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17359,--,--,91922,--,--,--,--,--
ME Mechanical,5126,--,--,129121,--,--,--,--,--,--,--,--,--,--,--,97962,13318,--,--,--,--,--,--,--
"CA CS (AI, MachineLearning)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24965,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27458,--,--,--,--,--,--,--,--
CS Computers,--,--,--,142468,--,--,--,--,--,--,--,--,--,--,--,--,--,12488,--,--,--,--,--,--
DS Comp. Sc. Engg-Data Sc.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13080,--,--,--,--,--,--,--,--
EC Electronics,--,--,--,--,--,--,--,--,--,--,--,156972,--,--,--,12798,--,--,--,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
RI Robotics and AI,--,--,--,153421,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
BM Bio Medical,8293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13838,--,--,19133,--,--,--,--,--
CF CS(ArtificialIntel.),--,10694,--,--,--,--,--,--,--,28071,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CH Chemical,--,--,--,--,--,--,--,--,--,--,--,--,36091,--,--,96145,--,--,--,--,--,--,--,--
CS Computers,--,--,--,28944,--,--,--,--,--,--,--,--,--,--,--,27434,--,36333,83479,--,--,--,--,--
EC Electronics,--,--,--,43716,--,--,--,--,--,--,--,--,--,--,--,29681,--,--,--,--,25067,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,58756,--,--,--,--,--,18918,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
AE Aeronaut.Engg,--,--,--,--,--,--,--,--,--,60012,--,--,--,--,--,45910,--,--,--,--,--,14570,--,--
"CA CS (AI, MachineLearning)",29756,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18858,--,--,--,--,--,--,--,--
CE Civil,--,--,--,229729,--,--,--,--,--,--,--,--,--,--,--,14702,--,23143,22111,--,--,--,--,--
CS Computers,--,--,--,23709,--,34182,--,--,--,--,--,--,--,--,--,12170,--,--,47667,--,--,67055,--,--
EC Electronics,--,--,--,31597,--,--,--,--,--,--,--,--,--,--,--,22972,32785,--,10199,--,--,11478,--,139819
EE Electrical,--,--,--,--,--,--,95574,--,--,--,--,--,--,--,--,41333,--,--,--,--,--,--,--,--
IE Info.Science,--,--,--,--,--,--,--,--,--,--,--,--,24304,--,--,19207,--,--,88194,--,17074,--,--,--
ME Mechanical,--,--,--,166853,--,--,--,--,--,--,--,--,--,--,--,14254,16496,--,--,--,--,--,--,--
AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"CA CS (AI, MachineLearning)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,55454,69289,--,--,--,--,--,--,--
CE Civil,--,--,--,197414,--,--,--,--,--,--,--,--,--,--,--,15925,--,15990,20115,--,--,--,--,--
CS Computers,--,--,--,60809,--,--,--,--,--,--,--,--,--,--,--,46955,--,--,94566,--,13464,94456,--,--
DS Comp. Sc. Engg-Data Sc.,--,--,--,--,--,--,85877,--,--,--,--,--,--,--,--,62583,--,--,--,--,--,--,--,--
EC Electronics,--,--,--,--,--,--,--,--,--,--,--,--,73599,--,--,70554,--,97128,23226,--,--,--,--,--
EE Electrical,--,--,--,79656,--,02946,--,--,--,--,--,--,--,--,--,72333,--,--,22608,--,--,--,--,--
IE Info.Science,--,--,--,--,--,--,--,--,--,75143,--,--,--,--,--,71641,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14221,--,--,--,--,--,--,--,--
AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,--,--,--,94736,127624,--,--,--,--,--,--,--,--,--,01644,78999,--,--,18239,--,--,--,--,--
EC Electronics,--,--,--,13776,--,--,--,--,--,--,--,--,--,--,--,3015,--,16269,24113,--,--,23957,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3847,17851,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1663,--,--,--,--,--,--,--,--
CE Civil,9257,--,--,18503,187633,41257,4949,--,99582,21448,--,--,31474,--,44053,2049,12443,13711,17462,18184,17692,20947,--,217405
EC Electronics,94270,--,--,68959,--,76491,56948,--,--,79392,--,05120,55985,--,--,54756,58367,62142,15658,--,17133,91281,17525,--
EE Electrical,1250,--,--,12350,--,29313,--,--,--,52332,--,--,83772,--,--,76157,90837,12114,13861,--,14751,16438,--,--
IP Ind.Prodn.,1629,--,--,--,--,--,0665,--,--,--,--,--,15278,48940,--,0194,--,24812,24129,--,--,--,--,--
ME Mechanical,9662,--,--,26127,--,--,6956,--,--,--,--,--,75313,--,70355,5944,20843,25843,25411,--,--,25210,--,--
AE Aeronaut.Engg,--,--,--,11819,--,--,--,--,--,--,--,--,--,--,--,0693,12610,12655,19858,--,--,--,--,--
CE Civil,--,--,--,--,--,--,3008,--,--,--,--,--,34918,--,--,2117,--,27057,26364,--,--,--,--,--
CS Computers,4972,--,--,13876,--,71368,1701,--,--,44854,--,--,10503,--,45780,0815,10900,14375,22691,--,25049,19836,--,--
EC Electronics,--,--,--,14694,--,--,--,--,--,--,--,80601,97245,--,--,88697,--,--,23598,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6209,--,--,--,--,--,--,--,--
AI ArtificialIntelligence,--,--,--,11165,--,--,--,--,--,10205,--,--,77348,--,83144,72228,72828,75582,12000,--,--,78302,--,--
"CA CS (AI, MachineLearning)",--,--,--,12078,--,--,--,--,--,20745,--,--,91738,--,--,85759,89516,89653,16089,--,16234,89230,--,--
CE Civil,--,--,--,20779,--,--,--,--,--,--,--,--,91554,--,--,6176,--,21365,17684,--,--,21952,--,--
CS Computers,86236,--,--,88465,--,07277,71659,--,--,89688,--,--,62364,--,75059,58590,59614,72082,10036,10296,11240,73796,--,77931
DS Comp. Sc. Engg-Data Sc.,96764,--,--,11396,--,--,91935,--,--,--,--,--,--,--,--,90150,--,93760,13464,18263,16653,12242,--,--
EC Electronics,4946,--,--,16180,--,72065,1480,--,--,15688,--,--,06155,15582,--,0561,--,11589,16289,--,18573,12888,--,141048
EE Electrical,--,--,--,15341,--,--,4318,--,--,--,--,06621,--,--,--,2132,12159,14177,18560,--,--,15201,--,--
"IC CS-IoT, CyberSecurity",4821,--,--,17682,--,--,1118,--,--,--,--,--,--,--,--,0950,--,13183,16577,--,24515,14339,--,--
IE Info.Science,--,--,--,15327,172476,38275,0532,--,--,--,--,--,02291,--,--,0113,--,11187,16417,--,--,12400,--,--
ME Mechanical,3216,--,--,--,--,--,--,--,--,--,--,--,57512,--,--,0056,--,21080,25260,--,--,--,--,--
"CA CS (AI, MachineLearning)",5747,--,--,15588,--,79449,--,--,--,30953,--,--,94418,--,99240,86581,92128,95550,15667,--,--,10803,--,--
CE Civil,3577,--,--,23771,--,--,--,--,--,--,--,--,08076,34589,--,8877,--,19400,20747,--,--,19748,--,--
CH Chemical,--,--,--,18345,--,--,--,--,--,--,--,--,--,--,--,3925,--,16209,22001,--,--,--,--,--
CS Computers,93217,--,--,11557,--,45200,84146,--,--,01292,--,--,62278,--,--,61488,65434,77688,12043,12331,13429,93283,--,99445
CY CS- CyberSecurity,3794,--,--,17296,--,83170,3097,--,--,--,--,--,10750,--,--,0534,--,10704,16813,--,20676,12955,--,--
DS Comp. Sc. Engg-Data Sc.,--,--,--,17213,--,--,0877,--,57031,55909,--,--,12946,--,--,0768,--,11225,16694,--,19190,14011,14484,--
EC Electronics,2193,--,--,17998,193160,05679,1781,--,--,56630,--,--,19143,--,--,1657,11692,12605,18267,--,19848,14460,--,148091
ME Mechanical,--,--,--,--,--,--,9688,--,--,--,--,--,--,--,--,6134,--,16424,25139,--,--,--,--,--
"CA CS (AI, MachineLearning)",98484,--,--,110422,--,161131,91746,--,--,96181,--,--,93642,34968,--,89612,--,12309,18691,--,22704,17123,--,172453
CE Civil,--,--,--,270151,7360,--,26191,--,--,39510,--,--,03634,--,--,20080,--,23444,25830,--,--,23304,--,--
CS Computers,80630,--,--,85644,--,92044,81855,--,--,77974,--,99134,75079,--,--,72264,76625,85862,15312,16494,17002,10172,--,135199
DS Comp. Sc. Engg-Data Sc.,--,--,--,110212,--,--,--,--,--,28116,--,--,00249,--,--,10015,10514,12017,16635,--,25166,13796,--,--
EC Electronics,2473,--,13056,136284,--,161491,03402,--,--,15767,--,--,13443,--,--,10265,11268,12280,23399,--,--,16599,20780,--
EE Electrical,7429,--,--,191806,--,194271,83351,--,--,44050,--,--,59590,--,7950,15533,15578,17378,25909,27438,--,22201,--,265832
IE Info.Science,2343,--,--,130513,5584,165347,17243,--,--,15778,--,--,13828,--,--,10981,13114,13224,20546,--,--,14209,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27181,--,--,--,--,--,--,--,--
CE Civil,--,--,--,218929,--,268365,08136,--,--,--,--,--,05686,--,--,19452,24015,22524,24895,--,25554,25414,--,--
CS Computers,--,--,--,100794,--,110575,87310,--,--,13345,--,--,88803,--,--,79853,--,93572,12111,15495,12124,14334,--,--
EC Electronics,1888,--,--,133083,4539,--,--,--,75172,73374,--,--,28163,--,--,11613,--,13477,18610,--,--,17729,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25547,--,25837,--,--,--,--,--,--
"CA CS (AI, MachineLearning)",85891,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59178,--,--,--,--,--,--
CB Comp. Sc. andBus Sys.,--,--,--,88755,--,--,--,--,--,--,--,--,--,--,--,74270,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19860,--,--,22449,--,--,--,--,--
CS Computers,--,--,--,35413,47406,--,--,--,--,--,--,--,--,--,--,28998,--,34960,11284,--,--,80438,--,--
EC Electronics,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,68481,--,--,--,--,--,71047,--,--,--,--,--,--,--,--
EI Elec. Inst.Engg,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
IE Info.Science,--,--,--,43992,--,67800,--,--,--,--,--,--,48950,--,--,39553,--,--,16990,--,--,--,--,--
"AD ArtificialIntel, Data Sc",--,--,--,--,--,--,11265,--,--,--,--,--,--,--,5819,--,--,--,--,--,--,--,--,--
AI ArtificialIntelligence,--,--,--,6870,16142,9281,--,--,--,4451,--,--,--,--,--,4332,--,5920,35552,--,--,32360,--,--
BT Bio Technology,48079,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CB Comp. Sc. andBus Sys.,--,--,--,--,--,--,12452,--,--,--,--,--,--,--,--,5211,--,--,--,--,--,--,--,--
CE Civil,--,--,--,69747,--,--,--,--,--,--,--,--,--,--,--,37759,--,--,--,--,--,--,--,--
CH Chemical,--,--,--,--,--,--,--,--,--,69382,--,--,--,--,--,--,--,47021,--,--,--,--,--,--
CS Computers,5556,--,--,6291,--,7216,9428,--,--,3565,--,--,4145,--,--,3137,7573,5165,27726,39111,37278,23627,--,30268
DS Comp. Sc. Engg-Data Sc.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3281,--,--,34407,--,--,--,--,--
EC Electronics,--,--,--,12605,--,--,--,--,--,--,--,--,5689,--,--,4832,15065,8978,49282,--,55377,45486,--,--
EI Elec. Inst.Engg,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ET Elec.Telecommn. Engg.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"IC CS-IoT, CyberSecurity",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3517,--,--,--,--,--,40868,--,--
IE Info.Science,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
MD Med.Elect.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ME Mechanical,81101,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34401,--,--,--,--,--,--,--,--
SE Aero SpaceEngg.,--,--,--,28497,--,--,--,--,--,--,--,--,--,--,--,9105,--,--,--,--,--,--,--,--
AI ArtificialIntelligence,--,--,--,--,--,--,--,--,--,--,--,--,37449,--,--,35757,--,--,--,--,--,--,--,--
AU Automobile,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5781,--,--,--,--,--,--,--,--
BT Bio Technology,5722,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4526,--,--,--,--,--,--,--,--
CS Computers,--,--,--,35718,--,40442,--,--,--,--,--,--,--,--,--,29017,--,--,94665,--,--,--,--,--
EC Electronics,--,--,--,--,--,--,--,--,--,45533,--,--,--,--,--,--,--,38408,--,--,--,--,--,--
ES Electronics andComputer,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10582,--,--,--,--,--,--,--
IE Info.Science,--,--,--,46316,--,--,--,--,--,--,--,--,--,--,--,37328,--,--,17396,--,--,11394,--,--
"CA CS (AI, MachineLearning)",--,--,--,--,--,--,6651,--,--,--,--,--,--,--,--,--,--,13748,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3510,--,--,--,--,--,--,--,--
CO ComputerEngineering,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,--,--,12946,11317,--,--,--,--,--,--,--,--,--,--,--,98500,--,--,18988,--,--,17842,--,--
EC Electronics,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3522,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
AI ArtificialIntelligence,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,86075,--,--,20676,--,--,--,--,--
BT Bio Technology,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CE Civil,--,--,--,27124,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,87638,--,91960,19315,--,--,--,--,--
EC Electronics,--,--,20270,--,--,--,--,--,--,--,--,--,--,--,--,1403,--,--,--,--,--,--,--,--
"IC CS-IoT, CyberSecurity",--,--,--,--,--,--,--,--,--,--,--,--,05082,--,--,--,18833,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0334,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,7391,--,--,--,--,--,--,--,--,1598,--,--,--,--,--,--,--,--
EC Electronics,25700,--,--,--,--,--,36668,--,--,--,--,--,--,--,--,12629,--,--,--,--,--,--,--,98463
EE Electrical,--,--,--,52992,--,--,--,--,--,--,--,--,--,--,--,28564,--,--,81288,--,21028,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,54619,--,--,--,--,--,54094,--,--,--,--,--,--,--,--
BT Bio Technology,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27563,--,--,--,--,--,--,--,--
CB Comp. Sc. andBus Sys.,15167,--,--,--,--,--,--,--,03237,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0234,--,--,14045,--,--,--,--,--
CS Computers,--,--,--,8435,--,--,--,--,--,--,--,--,--,--,--,6025,--,10351,42473,--,--,--,--,--
CT Const. Tech.Mgmt.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EC Electronics,--,--,--,13450,--,--,--,--,--,--,--,--,--,--,--,7122,--,--,--,--,--,--,--,--
IE Info.Science,--,--,--,--,--,19535,--,--,--,--,--,--,5438,--,--,--,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,53300,--,--,--,--,--,14482,--,--
"CA CS (AI, MachineLearning)",--,--,--,--,--,--,--,--,--,42541,--,--,--,--,--,41410,--,--,--,--,--,--,--,--
CB Comp. Sc. andBus Sys.,84361,--,--,--,--,--,--,--,--,--,--,--,--,--,71949,--,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,--,--,--,34025,--,--,--,--,--,--,--,--,--,--,--,29323,--,--,78600,--,11936,10078,12130,--
DS Comp. Sc. Engg-Data Sc.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39399,--,--,11970,--,--,--,--,--
EC Electronics,--,--,--,50576,--,--,--,--,--,--,--,--,--,--,--,34863,--,49238,16620,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,68361,--,--,--,--,--,--,--,--
IE Info.Science,--,--,--,--,--,--,--,--,--,--,--,--,47002,--,--,35878,--,--,--,--,--,--,--,--
AI ArtificialIntelligence,76613,--,--,73629,--,91283,57093,--,--,66731,--,--,59383,--,--,55980,58157,71420,13130,13482,13640,15228,--,159428
CD Computer Sc.and Design,90230,--,--,121669,--,--,--,--,--,94038,--,58903,77852,--,--,75129,84121,87269,14939,--,17699,18358,--,--
CE Civil,9012,--,--,252480,--,--,63476,--,--,--,--,--,62970,11844,--,14974,--,19803,21507,--,23033,23025,--,--
CR Ceramics,2702,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19701,--,20002,--,--,--,--,--,--
CS Computers,56621,--,--,54548,56104,72240,43167,--,--,56285,--,--,45460,--,49012,40449,44199,47162,82938,93307,97445,10000,--,112049
EC Electronics,0377,--,--,105254,11668,34122,05844,--,--,08569,--,--,84722,--,95570,80902,86530,94025,18070,--,20370,16983,--,--
EE Electrical,--,--,14989,106237,--,--,01952,--,--,--,--,--,--,--,--,89895,--,--,12564,--,--,--,--,--
EI Elec. Inst.Engg,4284,--,--,224964,--,--,--,--,--,--,--,--,--,--,--,12281,13777,14548,18038,--,--,--,--,--
IE Info.Science,--,--,--,70600,--,--,69757,--,95803,68603,--,64715,63786,--,--,62890,--,68542,16184,--,--,14631,15092,--
IP Ind.Prodn.,--,--,--,--,--,--,15440,--,--,--,--,--,--,--,--,18586,--,--,26124,--,--,--,--,--
ME Mechanical,--,--,--,208149,--,--,--,--,--,--,--,--,--,--,--,12975,--,--,21956,--,--,16960,--,--
AE Aeronaut.Engg,--,--,--,--,--,--,70853,--,--,--,--,--,--,--,--,--,--,--,--,--,19326,--,--,--
AI ArtificialIntelligence,22018,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28055,--,--,--,--,--,--,--
CB Comp. Sc. andBus Sys.,--,--,--,--,--,--,--,--,--,40664,--,--,--,--,--,23623,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11369,--,--,--,--,--,--,--,--
CS Computers,--,--,--,22797,--,--,--,--,--,--,--,--,--,--,--,15790,--,17831,58484,--,--,51207,--,--
EC Electronics,--,--,--,--,--,--,--,--,--,--,--,--,26613,--,--,25767,--,--,--,--,--,--,--,--
IE Info.Science,--,--,--,24606,--,--,--,--,--,--,--,--,--,--,24621,19527,--,--,78636,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,72572,--,--,--,--,--,14234,--,--
CS Computers,--,--,--,35642,--,--,--,--,--,--,--,--,--,--,--,22536,--,--,53246,--,77594,--,--,--
EC Electronics,--,--,--,48801,--,52718,--,--,--,--,--,--,--,--,--,38521,--,--,79541,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,64789,--,--,61699,--,--,--,--,--,--,--,--
EI Elec. Inst.Engg,--,--,--,--,--,--,--,--,--,00421,--,--,--,--,--,10070,--,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10586,--,13904,15672,--,--,--,--,--
RI Robotics and AI,96256,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18695,--,--,--,--
AI ArtificialIntelligence,--,--,--,50750,--,--,--,--,--,--,--,--,--,--,--,44684,--,49682,12411,18893,--,10646,--,--
BT Bio Technology,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10907,--,--,--,--,--,--,--,--
CB Comp. Sc. andBus Sys.,--,--,--,95475,--,--,--,--,--,--,--,--,--,--,--,68168,--,--,22310,--,--,--,--,--
CD Computer Sc.and Design,--,--,--,--,--,--,06636,--,--,--,--,--,--,--,--,63518,--,--,21118,--,--,--,--,--
CE Civil,6651,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CH Chemical,--,--,--,--,--,--,--,--,--,66365,--,--,11546,--,--,--,--,--,--,--,--,--,--,--
CS Computers,--,--,--,34609,--,46787,--,--,--,--,--,--,32591,--,--,31853,39332,38590,10312,--,--,77429,--,--
DS Comp. Sc. Engg-Data Sc.,83296,--,--,--,--,--,--,--,--,--,--,--,--,--,51417,--,--,--,--,--,--,--,--,--
EC Electronics,--,--,--,53282,--,--,--,--,--,--,--,--,--,--,--,40467,--,50327,12435,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,68806,--,--,14902,--,--,--,--,--
IE Info.Science,--,--,--,51013,--,--,--,--,--,--,--,--,49101,--,--,47331,--,48584,16519,--,18432,13114,--,--
ME Mechanical,--,--,--,174340,--,--,--,--,--,--,--,--,--,--,--,15312,--,--,--,--,--,--,--,--
TX Textiles,--,--,--,215125,--,--,--,--,--,--,--,--,--,--,--,15700,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19603,--,--,--,--,--,--,--,--
CS Computers,--,--,--,101464,--,--,--,--,--,--,--,--,--,--,--,77029,--,--,17770,--,20221,--,--,--
EC Electronics,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11859,--,13566,--,--,--,20461,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13566,--,--,25955,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
AI ArtificialIntelligence,--,--,--,--,--,--,--,--,--,86255,--,--,--,--,--,75077,--,--,--,--,--,--,--,--
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16860,--,--,--,--,--,--,--,--
CS Computers,--,--,--,73740,--,--,--,--,--,--,--,--,--,--,--,60854,--,--,17361,--,20349,--,--,--
DS Comp. Sc. Engg-Data Sc.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,98464,--,--,--,--,--,--,--,--
EC Electronics,--,--,--,118528,--,28980,--,--,--,--,--,--,--,--,--,10033,--,--,26532,--,--,--,--,--
EE Electrical,9481,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11088,--,--,--,--,--,--
IE Info.Science,--,--,--,--,--,--,66330,--,--,--,--,--,--,--,--,--,14299,--,--,--,--,--,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23664,--,--,--,--,--,--,--,--
RI Robotics and AI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,95672,--,--,--,--,--,--,--,--
AI ArtificialIntelligence,53659,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45414,--,--,--,--,--,--,--,--
CE Civil,--,--,--,269178,--,--,--,--,--,--,--,--,--,--,--,17982,--,--,21947,--,--,--,--,--
CS Computers,--,--,--,52533,--,--,--,--,--,--,--,--,--,--,--,37899,--,--,15420,--,16144,11606,--,--
DS Comp. Sc. Engg-Data Sc.,--,--,--,--,--,--,--,--,--,61775,--,--,--,--,--,57051,--,--,--,--,--,--,--,--
EC Electronics,--,--,--,71654,--,--,--,--,--,--,--,--,--,--,--,58038,--,72561,20263,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,96031,--,--,--,--,--,--,--,--,99539,--,--,--,--,--,--,--,--
ET Elec.Telecommn. Engg.,--,--,--,--,--,--,--,--,--,--,--,--,55849,--,--,88714,--,--,--,--,--,--,--,--
IE Info.Science,--,--,--,87070,--,67399,--,--,--,--,--,--,--,--,--,47664,--,--,25138,--,--,20850,--,--
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15904,--,--,--,--,--,--,--,--
RI Robotics and AI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,63409,--,15004,--,--,--,--,--,--
